,קטגוריה,שם הכלי,שימוש מרכזי,מודל תמחור,תמיכה בעברית,שפות נתמכות,רמת משתמש,פלטפורמות,חלופות עיקריות,הבדל מול חלופות,פרטיות/אחסון,מתאים ללא רקע
,כתיבה/עוזר כללי,ChatGPT (OpenAI),"כתיבה, סיכום, תכנון משימות",חינמי / Plus / Enterprise,טובה,רב־לשוני,מתחיל,"Web, iOS, Android",Claude; Gemini,אקוסיסטם תוספים רחב ותמיכה כללית טובה,ענן; אפשרויות ארגוניות משופרות,כן
,כתיבה/עוזר כללי,Gemini (Google),"יצירת תוכן, תמונות/קוד, Workspace",חינמי / Workspace Add‑on / Enterprise,טובה,רב־לשוני,מתחיל,"Web, Android, Workspace",ChatGPT; Claude,שילוב עמוק ב‑Workspace וב‑Android,ענן Google; שליטה ארגונית,כן
,כתיבה/עוזר כללי,Claude (Anthropic),"כתיבה איכותית, ניתוח מסמכים",חינמי / Pro / Team / Enterprise,טובה,רב־לשוני,מתחיל,"Web, iOS, API",ChatGPT; Gemini,מיקוד בבטיחות ודיוק ניסוח,ענן; מדיניות פרטיות מוקפדת,כן
,מחקר וחיפוש,Perplexity,"חיפוש תשובות מצוטטות, מחקר",חינמי / Pro,טובה,רב־לשוני,מתחיל,"Web, iOS, Android",You.com; Bing Copilot,מקורות מצוטטים ובקשות המשך מהירות,ענן; היסטוריית חיפושים,כן
,מחקר וחיפוש,Elicit,"מחקר ספרות, סיכום מאמרים",Freemium / Pro,סבירה,רב־לשוני,מתחיל,Web,Genei; Scite Assistant,התמקדות במחקר אקדמי מובנה,ענן; אימפורט PDF,כן
,מחקר וחיפוש,Genei,סיכום מסמכים ומאמרים,חודשי/שנתי,סבירה,רב־לשוני,מתחיל,Web,Elicit; Scite,UI קל לסיכומים מהירים,ענן,כן
,מחקר וחיפוש,Scite Assistant,בדיקת ציטוטים ושקלול ראיות,Pro / מוסדי,מוגבלת,בעיקר אנגלית,בינוני,Web,Elicit; Semantic Scholar (לא AI מלא),התמקדות באמינות מקורות,ענן,תלוי
,ניהול משימות ופרויקטים,Asana AI,"טיוב משימות, סיכומים, אוטומציות",תוספת/ברמות Pro/Business,סבירה,רב־לשוני,מתחיל,"Web, iOS, Android",Monday AI; ClickUp AI,שילוב בזרימת Asana קיימת,ענן Asana,כן
,ניהול משימות ופרויקטים,ClickUp AI,"יצירת טיקטים, תווים, סיכומים",Add‑on לחשבון ClickUp,סבירה,רב־לשוני,מתחיל,"Web, Desktop, Mobile",Asana AI; Monday AI,בונה תבניות תוכן רבות,ענן ClickUp,כן
,ניהול משימות ופרויקטים,Monday AI,"אוטומציות, סיכומים, יצירת שדות",תוספת/ברמות מתקדמות,טובה (UI); AI טקסט: סבירה,רב־לשוני,מתחיל,"Web, Mobile",Asana AI; ClickUp AI,"פופולרי בישראל, אוטומציות נוחות",ענן Monday,כן
,ניהול משימות ופרויקטים,Trello + Butler,"קנבנים, אוטומציות קלות",Freemium / Standard / Premium,סבירה,רב־לשוני,מתחיל,"Web, Mobile",Notion AI; ClickUp,פשטות גבוהה לחדשים,ענן Atlassian,כן
,מסמכים וניהול ידע,Notion AI,"דפי ידע, ויקי, כתיבה חכמה",Add‑on למנוי Notion,סבירה,רב־לשוני,מתחיל,"Web, Desktop, Mobile",Coda AI; Evernote,All‑in‑one ידע+מסמכים,ענן Notion,כן
,מסמכים וניהול ידע,Coda AI,מסמכים חכמים + אוטומציה,Add‑on למנוי Coda,סבירה,רב־לשוני,בינוני,Web,Notion AI; Airtable AI,אינטגרציות ואוטומציה חזקה,ענן Coda,כן
,מסדי נתונים/טבלאות,Airtable AI,השלמות חכמות בשדות/אוטומציות,Add‑on למנוי Airtable,סבירה,רב־לשוני,בינוני,"Web, Mobile",Coda AI; Google Sheets (Gemini),בינה בתוך שדות וטבלאות,ענן Airtable,תלוי
,הערות וידע אישי,Obsidian + Text Generator,הערות מקושרות וייצור טקסט,חינמי + תוסף בתשלום אפשרי,סבירה,רב־לשוני (תוסף),בינוני,"Desktop, Mobile",Tana; Mem,שליטה מקומית בקבצים,מקומי/ענן לפי בחירה,תלוי
,הערות וידע אישי,Tana + AI,ידע אישי מבני עם AI,Pro / Business,סבירה,רב־לשוני,בינוני,"Web, Desktop (PWA)",Obsidian; Notion AI,מודל נתונים גמיש מאוד,ענן Tana,תלוי
,הערות וידע אישי,Mem X,זיכרון אישי חכם ואחזור,Pro / Team,סבירה,רב־לשוני,מתחיל,"Web, iOS",Reflect; Notion AI,לכידת פתקי מחשבה מהירה,ענן Mem,כן
